description,latitude,longitude,windowStart,windowEnd,unloadingDuration,loadWeight,loadVolume
80021788,-23.3844,-47.35345,07:30:00,23:59:00,7,171.2,12.52
80021813,-23.519264,-47.437292,08:03:00,10:12:00,13,451.89,33.19
80021820,-23.4123,-47.407469,09:56:00,14:36:00,6,163.8,11.76
80021821,-23.465358,-47.470469,07:30:00,23:59:00,5,70.2,5.04
80021834,-23.276389,-47.674858,07:30:00,23:59:00,4,166.2,11.88
80021838,-23.501433,-47.447856,08:21:00,17:20:00,6,546.41,41.77
80021839,-23.511519,-47.4464,07:38:00,15:53:00,18,107.84,7.68
80021863,-23.266531,-47.298208,09:30:00,14:10:00,55,1776.648,134.939
80021894,-23.479714,-47.466739,09:45:00,13:17:00,12,413.9,25.14
80021903,-23.562956,-47.457333,09:10:00,20:10:00,14,972.18,69.72
80021929,-23.28005,-47.278497,09:44:00,14:11:00,12,132.87,9.77
80021941,-23.398019,-47.352225,07:30:00,23:59:00,9,264.53,18.365
80021952,-23.3969,-47.338622,07:30:00,23:59:00,15,231.6,15.475
80021958,-23.458536,-47.480119,08:14:00,11:12:00,14,117,8.4
80021964,-23.478208,-47.44665,09:38:00,14:29:00,11,351.07,25.67
80021979,-23.64535,-47.576408,09:11:00,14:23:00,14,441.2,32.8
80021986,-23.491269,-47.459811,07:31:00,14:29:00,8,204.7,15.68
80022002,-23.476481,-47.477092,07:30:00,23:59:00,8,117,8.4
80022006,-23.464608,-47.478078,09:25:00,18:59:00,35,180.79,12.87
80022007,-23.477042,-47.474525,07:30:00,23:59:00,2,117,8.4
80022029,-23.545758,-47.448908,07:31:00,13:28:00,13,237.88,17.8
80022040,-23.287258,-47.679933,11:43:00,16:23:00,12,278.88,20.36
80022062,-23.469867,-47.496958,08:05:00,15:11:00,54,1944.77,116.75
80022069,-23.486764,-47.433303,08:38:00,13:02:00,28,450.6,32.88
80022083,-23.709,-47.42,07:30:00,23:59:00,7,13.47,0.87
80022086,-23.497625,-47.457233,07:30:00,23:59:00,15,56.29,4.29
80022111,-23.532803,-47.437975,07:30:00,23:59:00,6,96.09,7.13
80022179,-23.394506,-47.377969,08:28:00,17:22:00,13,222.04,16.38
80022187,-23.505969,-47.511319,08:07:00,19:16:00,76,2287.5,166
80022211,-23.260028,-47.297286,07:30:00,23:59:00,10,43.13,3.03
80022219,-23.53535,-47.43505,09:28:00,16:44:00,11,187.58,13.355
80022270,-23.265458,-47.315178,08:57:00,09:04:00,6,96.09,7.13
80022282,-23.488431,-47.478678,07:30:00,23:59:00,25,1099.58,77.96
80022295,-23.387808,-47.3474,07:30:00,23:59:00,6,107.9,7.8
80022320,-23.477058,-47.464942,07:30:00,23:59:00,5,51.8,4
80022349,-23.616208,-47.563878,07:51:00,15:16:00,22,815.32,57.84
